"FA12.0","FA14.0","FA14.1.n.5","FA15.0","FA16.0","FA16.1n.7","FA16.2n.6","FA16.3n.6","FA16.4n.3","FA18.0","FA18.1n.9","FA18.1n.7","FA18.2n.6","FA18.3n.6","FA18.3n.3","FA18.4n.3","FA20.0","FA20.1n.11","FA20.1n.9","FA20.2","FA20.4n.6","FA20.3","FA20.4n.3","FA20.5n.3","FA22.0","FA22.1n.11","FA22.1n.9","FA21.5n.3","FA22.5n.3","FA22.6n.3","FA24.1n.9"
0.75,8.08,1.64,0.54,8.33,15.62,0.52,0.64,0.21,1.54,21.38,2.29,2.39,0.03,1.46,1.36,0.11,7.96,0.19,0.28,0.55,0.13,1.14,4.37,0.11,6.24,0.28,0.24,2.58,8.95,0.1
0.28,3.03,0.33,0.43,9.36,9.87,0.22,0.13,0.1,2.38,21.59,4.26,2.19,0.16,1.18,1.1,0.11,2.21,0.32,0.41,1.39,0.19,1.11,8.67,0.04,1.75,0.18,0.38,7.55,18.83,0.24
0.8,5.49,0.6,0.45,8.84,11.04,0.6,0.28,0.39,1.99,23.28,2.93,1.89,0.07,1.06,1.5,0.09,5.63,0.31,0.26,0.67,0.11,1.18,6.85,0.02,4.57,0.23,0.4,4.56,13.69,0.22
0.92,6.22,1.39,0.55,7.46,13.8,0.54,0.22,0.33,1.88,22.21,2.91,2.35,0.07,1.35,1.56,0.14,4.86,0.32,0.32,0.72,0.12,1.08,5.35,0.07,4.96,0.17,0.33,4.17,13.42,0.22
1.02,6.59,1.82,0.47,8.5,19.33,0.8,0.24,0.28,1.55,27.19,3.13,1.65,0.07,0.92,1.09,0.13,2.77,0.23,0.26,0.58,0.11,0.82,4.87,0.03,3.25,0,0.23,2.17,9.71,0.18
0.76,5.27,1.38,0.55,8.89,16.37,0.46,0.1,0.26,1.85,22.76,3.21,2.32,0.07,1.18,1.15,0.11,2.66,0.19,0.25,0.92,0.11,0.92,6.56,0.03,2.48,0,0.26,4.34,14.4,0.21
0.88,6.06,1.03,0.53,9.1,12.72,0.6,0.33,0.33,1.94,24.09,2.33,1.85,0.06,0.91,1.15,0.11,4.95,0.23,0.29,0.68,0.1,0.83,4.45,0.03,5.31,0,0.28,3.98,14.59,0.28
0.49,4.73,0.37,0.44,11.13,9.68,0.58,0.56,0.25,2.48,24.09,2.88,1.57,0.06,0.82,0.93,0.09,4.46,0.22,0.29,0.73,0.1,1.09,6.53,0.02,4.49,0.22,0.33,4.83,15.29,0.26
1.06,7.44,2.5,0.61,10.59,19.94,0.5,0.21,0.21,2.23,27.29,2.97,1.81,0.04,1.04,1.05,0.14,3.05,0.21,0.29,0.52,0.08,0.97,3.03,0.03,2.96,0.18,0.22,2.09,6.52,0.21
2.25,13.36,6.44,0.78,9.8,32.01,0.9,0.2,0.14,0.62,25.72,1.23,1.61,0.03,0.63,0.25,0.05,1.29,0.02,0.04,0.1,0.02,0.19,0.26,0.02,1.45,0,0.02,0.11,0.25,0.21
1.02,9.07,2.58,0.69,11.54,19.46,0.48,0.19,0.15,2.04,24.95,2.59,2.18,0.07,1.46,0.9,0.17,3.62,0.13,0.28,0.55,0.09,0.83,2.86,0.03,4.01,0.28,0.49,1.72,5.35,0.21
0.89,8.33,2.41,0.6,7.86,19.3,0.51,0.19,0.19,1.33,22.73,1.99,2.28,0.06,1.23,1.1,0.12,5.44,0.15,0.26,0.51,0.09,0.99,3.72,0.03,4.96,0.24,0.22,2.51,9.65,0.12
2.01,9.69,3.07,0.75,10.11,26.18,1,0.29,0.33,1.16,26.78,2.46,1.19,0.14,0.47,0.79,0.09,1.07,0.14,0.14,0.46,0.04,0.48,2.41,0.02,1.17,0.1,0.22,1.83,5.17,0.24
1.67,10.62,2.93,0.68,8.52,17.88,0.76,0.26,0.27,1.18,25.76,1.73,1.86,0.08,1.01,0.78,0.17,4.55,0.3,0.23,0.38,0.06,0.48,1.56,0.03,6.85,0.29,0.42,1.86,6.52,0.32
0.72,5.62,1.22,0.55,8.71,14.26,0.44,0.89,0.17,0.93,25.52,2.45,1.74,0.02,0.92,0.9,0.18,4.39,0.19,0.71,0.82,0.08,0.78,3.94,0.03,3.32,0.15,0.3,4.19,15.22,0.6
0.98,6.16,1.61,0.6,10.94,16.89,0.33,0.1,0.13,2.01,29.54,4.51,2.01,0.09,1.21,0.9,0.13,2.91,0.22,0.27,0.66,0.09,0.78,3.03,0.03,3.27,0.54,0.38,1.92,7.63,0.15
